title,authors,type_of_ban,state,district,date_of_challenge_removal,origin_of_challenge,categories,publishing_date,description,text_snippet
Rift (Nightshade Prequel Series),"Cremer, Andrea",Banned Pending Investigation,Florida,Indian River County School District,November 2021,Administrator,Juvenile Fiction,2013-01-08,"Sixteen-year-old Lady Ember Morrow fulfills a family obligation by joining her friend Alistair in the Conatus Guard and begins training to help with the order's true mission, to seek out and stop evildoers and their unnatural creations.","Sixteen-year-old Lady Ember Morrow fulfills a family obligation by joining her friend Alistair in the Conatus Guard and begins training to help with the order&#39;s true mission, to seek out and stop evildoers and their unnatural creations."
Beautiful Music for Ugly Children,"Cronn-Mills, Kirstin",Banned in Libraries,Texas,North East Independent School District,December 2021,Administrator,Juvenile Fiction,2012,"The award-winning author of The Sky Always Hears Me and the Hills Don't Mind presents the story of teen DJ Gabe, a transgendered youth who knows himself to be a boy trapped in a girl's body and whose efforts to gain acceptance are threatened by a violent gang of bullies. Original.","The award-winning author of The Sky Always Hears Me and the Hills Don&#39;t Mind presents the story of teen DJ Gabe, a transgendered youth who knows himself to be a boy trapped in a girl&#39;s body and whose efforts to gain acceptance are ..."
Striving for Equality: LGBTQ Athletes Claim the Field,"Cronn-Mills, Kirstin",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Young Adult Nonfiction,2017,"In 2015, the world watched as soccer star Abby Wambach kissed her wife after the US women's World Cup victory. Milwaukee Brewers' minor league first baseman David Denson came out as gay. And Caitlyn (born Bruce) Jenner, an Olympic decathlete, came out as transgender. It hasn't always been this way. Many great athletes have stayed in the closet their whole lives, or at least until retirement. Social attitudes, institutional policies, and laws are slow to change, but they are catching up. Together, athletes, families, educators, allies, and fans are pushing for competitive equity so that every athlete, regardless of identity, can have the opportunity to play at their very best.","In 2015, the world watched as soccer star Abby Wambach kissed her wife after the US women&#39;s World Cup victory."
Staying Fat for Sarah Byrnes,"Crutcher, Chris",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022,Administrator,Young Adult Fiction,2018-01-30,"Called a “masterpiece” in a starred review from School Library Journal, award-winning author Chris Crutcher’s acclaimed Staying Fat for Sarah Byrnes is an enduring classic. This bestselling novel is about love, loyalty, and friendship in the face of adversity. “Superb plotting, extraordinary characters, and cracking narrative make this novel unforgettable.”—Publishers Weekly Sarah Byrnes and Eric Calhoune have been friends for years. When they were children, his weight and her scars made them both outcasts. Now Sarah Byrnes—the smartest, toughest person Eric has ever known—sits silent in a hospital. Eric must uncover the terrible secret she’s hiding before its dark current pulls them both under. Will appeal to fans of Marieke Nijkamp, Andrew Smith, and John Corey Whaley. “Once again, Chris Crutcher plunges his readers into life's tough issues within a compelling story filled with human compassion . . . with his characteristic intelligence, humor, and empathy.""—ALAN Review An American Library Association Best Book for Young Adults Includes exclusive extras.","This bestselling novel is about love, loyalty, and friendship in the face of adversity. “Superb plotting, extraordinary characters, and cracking narrative make this novel unforgettable.”—Publishers Weekly Sarah Byrnes and Eric ..."
Staying Fat for Sarah Byrnes,"Crutcher, Chris",Banned in Libraries,Texas,North East Independent School District,December 2021,Administrator,Young Adult Fiction,2018-01-30,"Called a “masterpiece” in a starred review from School Library Journal, award-winning author Chris Crutcher’s acclaimed Staying Fat for Sarah Byrnes is an enduring classic. This bestselling novel is about love, loyalty, and friendship in the face of adversity. “Superb plotting, extraordinary characters, and cracking narrative make this novel unforgettable.”—Publishers Weekly Sarah Byrnes and Eric Calhoune have been friends for years. When they were children, his weight and her scars made them both outcasts. Now Sarah Byrnes—the smartest, toughest person Eric has ever known—sits silent in a hospital. Eric must uncover the terrible secret she’s hiding before its dark current pulls them both under. Will appeal to fans of Marieke Nijkamp, Andrew Smith, and John Corey Whaley. “Once again, Chris Crutcher plunges his readers into life's tough issues within a compelling story filled with human compassion . . . with his characteristic intelligence, humor, and empathy.""—ALAN Review An American Library Association Best Book for Young Adults Includes exclusive extras.","This bestselling novel is about love, loyalty, and friendship in the face of adversity. “Superb plotting, extraordinary characters, and cracking narrative make this novel unforgettable.”—Publishers Weekly Sarah Byrnes and Eric ..."
Whale Talk,"Crutcher, Chris",Banned Pending Investigation,Oklahoma,Bristow Public Schools,October 2021,Administrator,Young Adult Fiction,2018-01-30,"“A truly exceptional book.”—Washington Post There's bad news and good news about the Cutter High School swim team. The bad news is that they don't have a pool. The good news is that only one of them can swim anyway. Bestselling author Chris Crutcher’s controversial and acclaimed novel follows a group of outcasts as they take on inequality and injustice in their high school. ""Crutcher's superior gifts as a storyteller and his background as a working therapist combine to make magic in Whale Talk. The thread of truth in his fiction reminds us that heroes can come in any shape, color, ability or size, and friendship can bridge nearly any divide.”—Washington Post T.J. Jones hates the blatant preferential treatment jocks receive at his high school, and the reverence paid to the varsity lettermen. When he sees a member of the wrestling team threatening an underclassman, T.J. decides he’s had enough. He recruits some of the biggest misfits at Cutter High to form a swim team. They may not have very much talent, but the All-Night Mermen prove to be way more than T.J. anticipated. As the unlikely athletes move closer to their goal, these new friends might learn that the journey is worth more than the reward. For fans of Andrew Smith and Marieke Nijkamp. ""Crutcher offers an unusual yet resonant mixture of black comedy and tragedy that lays bare the superficiality of the high-school scene. The book's shocking climax will force readers to re-examine their own values and may cause them to alter their perception of individuals pegged as 'losers.'""—Publishers Weekly An American Library Association Best Book for Young Adults New York Public Library Books for the Teen Age Features a new afterword by Chris Crutcher.",The book&#39;s shocking climax will force readers to re-examine their own values and may cause them to alter their perception of individuals pegged as &#39;losers.&#39;&quot;—Publishers Weekly An American Library Association Best Book for Young Adults New ...
Flamer,"Curato, Mike",Banned in Libraries and Classrooms,Florida,Palm Beach County School District,April 2022,Administrator,Young Adult Fiction,2020-09-01,"Award-winning author and artist Mike Curato draws on his own experiences in Flamer, his debut graphic novel, telling a difficult story with humor, compassion, and love. ""This book will save lives."" —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys. They’re mean, and scary, and they’re always destroying something or saying something dumb or both. I hate that word. Gay. It makes me feel . . . unsafe. It's the summer between middle school and high school, and Aiden Navarro is away at camp. Everyone's going through changes—but for Aiden, the stakes feel higher. As he navigates friendships, deals with bullies, and spends time with Elias (a boy he can't stop thinking about), he finds himself on a path of self-discovery and acceptance.","&quot;This book will save lives.&quot; —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys."
Flamer,"Curato, Mike",Banned Pending Investigation,Michigan,Rochester Community Schools District,April 2022,Administrator,Young Adult Fiction,2020-09-01,"Award-winning author and artist Mike Curato draws on his own experiences in Flamer, his debut graphic novel, telling a difficult story with humor, compassion, and love. ""This book will save lives."" —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys. They’re mean, and scary, and they’re always destroying something or saying something dumb or both. I hate that word. Gay. It makes me feel . . . unsafe. It's the summer between middle school and high school, and Aiden Navarro is away at camp. Everyone's going through changes—but for Aiden, the stakes feel higher. As he navigates friendships, deals with bullies, and spends time with Elias (a boy he can't stop thinking about), he finds himself on a path of self-discovery and acceptance.","&quot;This book will save lives.&quot; —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys."
Flamer,"Curato, Mike",Banned in Libraries and Classrooms,Oklahoma,Bixby Public Schools,June 2022,Administrator,Young Adult Fiction,2020-09-01,"Award-winning author and artist Mike Curato draws on his own experiences in Flamer, his debut graphic novel, telling a difficult story with humor, compassion, and love. ""This book will save lives."" —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys. They’re mean, and scary, and they’re always destroying something or saying something dumb or both. I hate that word. Gay. It makes me feel . . . unsafe. It's the summer between middle school and high school, and Aiden Navarro is away at camp. Everyone's going through changes—but for Aiden, the stakes feel higher. As he navigates friendships, deals with bullies, and spends time with Elias (a boy he can't stop thinking about), he finds himself on a path of self-discovery and acceptance.","&quot;This book will save lives.&quot; —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys."
Flamer,"Curato, Mike",Banned Pending Investigation,Tennessee,Collierville Schools,February 2022,Administrator,Young Adult Fiction,2020-09-01,"Award-winning author and artist Mike Curato draws on his own experiences in Flamer, his debut graphic novel, telling a difficult story with humor, compassion, and love. ""This book will save lives."" —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys. They’re mean, and scary, and they’re always destroying something or saying something dumb or both. I hate that word. Gay. It makes me feel . . . unsafe. It's the summer between middle school and high school, and Aiden Navarro is away at camp. Everyone's going through changes—but for Aiden, the stakes feel higher. As he navigates friendships, deals with bullies, and spends time with Elias (a boy he can't stop thinking about), he finds himself on a path of self-discovery and acceptance.","&quot;This book will save lives.&quot; —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys."
Flamer,"Curato, Mike",Banned in Libraries,Texas,Clear Creek Independent School District,February 2022,Administrator,Young Adult Fiction,2020-09-01,"Award-winning author and artist Mike Curato draws on his own experiences in Flamer, his debut graphic novel, telling a difficult story with humor, compassion, and love. ""This book will save lives."" —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys. They’re mean, and scary, and they’re always destroying something or saying something dumb or both. I hate that word. Gay. It makes me feel . . . unsafe. It's the summer between middle school and high school, and Aiden Navarro is away at camp. Everyone's going through changes—but for Aiden, the stakes feel higher. As he navigates friendships, deals with bullies, and spends time with Elias (a boy he can't stop thinking about), he finds himself on a path of self-discovery and acceptance.","&quot;This book will save lives.&quot; —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys."
Flamer,"Curato, Mike",Banned Pending Investigation,Texas,Katy Independent School District,January 2022,Administrator,Young Adult Fiction,2020-09-01,"Award-winning author and artist Mike Curato draws on his own experiences in Flamer, his debut graphic novel, telling a difficult story with humor, compassion, and love. ""This book will save lives."" —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys. They’re mean, and scary, and they’re always destroying something or saying something dumb or both. I hate that word. Gay. It makes me feel . . . unsafe. It's the summer between middle school and high school, and Aiden Navarro is away at camp. Everyone's going through changes—but for Aiden, the stakes feel higher. As he navigates friendships, deals with bullies, and spends time with Elias (a boy he can't stop thinking about), he finds himself on a path of self-discovery and acceptance.","&quot;This book will save lives.&quot; —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys."
Flamer,"Curato, Mike",Banned in Libraries and Classrooms,Texas,Keller Independent School District,November 2021,Formal Challenge,Young Adult Fiction,2020-09-01,"Award-winning author and artist Mike Curato draws on his own experiences in Flamer, his debut graphic novel, telling a difficult story with humor, compassion, and love. ""This book will save lives."" —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys. They’re mean, and scary, and they’re always destroying something or saying something dumb or both. I hate that word. Gay. It makes me feel . . . unsafe. It's the summer between middle school and high school, and Aiden Navarro is away at camp. Everyone's going through changes—but for Aiden, the stakes feel higher. As he navigates friendships, deals with bullies, and spends time with Elias (a boy he can't stop thinking about), he finds himself on a path of self-discovery and acceptance.","&quot;This book will save lives.&quot; —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys."
Flamer,"Curato, Mike",Banned in Libraries and Classrooms,Texas,Klein Independent School District,May 2022,Administrator,Young Adult Fiction,2020-09-01,"Award-winning author and artist Mike Curato draws on his own experiences in Flamer, his debut graphic novel, telling a difficult story with humor, compassion, and love. ""This book will save lives."" —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys. They’re mean, and scary, and they’re always destroying something or saying something dumb or both. I hate that word. Gay. It makes me feel . . . unsafe. It's the summer between middle school and high school, and Aiden Navarro is away at camp. Everyone's going through changes—but for Aiden, the stakes feel higher. As he navigates friendships, deals with bullies, and spends time with Elias (a boy he can't stop thinking about), he finds himself on a path of self-discovery and acceptance.","&quot;This book will save lives.&quot; —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys."
Flamer,"Curato, Mike",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,Young Adult Fiction,2020-09-01,"Award-winning author and artist Mike Curato draws on his own experiences in Flamer, his debut graphic novel, telling a difficult story with humor, compassion, and love. ""This book will save lives."" —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys. They’re mean, and scary, and they’re always destroying something or saying something dumb or both. I hate that word. Gay. It makes me feel . . . unsafe. It's the summer between middle school and high school, and Aiden Navarro is away at camp. Everyone's going through changes—but for Aiden, the stakes feel higher. As he navigates friendships, deals with bullies, and spends time with Elias (a boy he can't stop thinking about), he finds himself on a path of self-discovery and acceptance.","&quot;This book will save lives.&quot; —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys."
Flamer,"Curato, Mike",Banned in Libraries and Classrooms,Wisconsin,School District of Waukesha,December 2021,Administrator,Young Adult Fiction,2020-09-01,"Award-winning author and artist Mike Curato draws on his own experiences in Flamer, his debut graphic novel, telling a difficult story with humor, compassion, and love. ""This book will save lives."" —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys. They’re mean, and scary, and they’re always destroying something or saying something dumb or both. I hate that word. Gay. It makes me feel . . . unsafe. It's the summer between middle school and high school, and Aiden Navarro is away at camp. Everyone's going through changes—but for Aiden, the stakes feel higher. As he navigates friendships, deals with bullies, and spends time with Elias (a boy he can't stop thinking about), he finds himself on a path of self-discovery and acceptance.","&quot;This book will save lives.&quot; —Jarrett J. Krosoczka, author of National Book Award Finalist Hey, Kiddo I know I’m not gay. Gay boys like other boys. I hate boys."
LGBT Families (Changing Families),"Currie-McGhee, Leanna",Banned Pending Investigation,Texas,North East Independent School District,December 2021,Administrator,NULL,2018-08,"As society has become more accepting of LGBT persons, an increasing number have become parents. Today, between 2 and 4 million US youth are estimated to have an LGBT parent. This book presents a real-world look at how American families are changing and helps teen readers gain an understanding of what it is like to be part of an LGBT family.",This book presents a real-world look at how American families are changing and helps teen readers gain an understanding of what it is like to be part of an LGBT family.
A Peacock Among Pigeons,"Curry, Tyler",Banned Pending Investigation,Florida,Walton County School District,April 2022,Administrator,Individuality,2015-11-03,"When you can't fit in, you have to learn to stand out.","When you can&#39;t fit in, you have to learn to stand out."
The Mighty Miss Malone,"Curtis, Christopher Paul",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,2013-03-12,"""We are a family on a journey to a place called wonderful"" is the motto of Deza Malone's family. Deza is the smartest girl in her class in Gary, Indiana, singled out by teachers for a special path in life. But it's 1936 and the Great Depression has hit Gary hard, and there are no jobs for black men. When her beloved father leaves to find work, Deza, Mother, and her older brother, Jimmie, go in search of him, and end up in a Hooverville outside Flint, Michigan. Jimmie's beautiful voice inspires him to leave the camp to be a performer, while Deza and Mother find a new home, and cling to the hope that they will find Father. The twists and turns of their story reveal the devastation of the Depression and prove that Deza truly is the Mighty Miss Malone.",The twists and turns of their story reveal the devastation of the Depression and prove that Deza truly is the Mighty Miss Malone.
A Case of Sense,"Daemicke, Songju Ma",Banned Pending Investigation,Florida,Duval County Public Schools,January 2022,Administrator,Juvenile Fiction,2016-08-10,"While Ming plays outside one summer day, the smell of delicious food fills the air. It is coming from greedy Fu Wang’s house. “What is he up to?” wonders Ming. To his alarm, Fu Wang demands that all the neighbors pay him for the pleasant smells. When the neighbors refuse, the case goes to court. How will the judge rule in this unusual case and will justice be served? Can Fu Wang make money from the neighbors’ sense of smell? A wise judge makes use of another sense to close the case with clever and convincing logic.","Her debut picture book, <b>A Case of Sense</b> is inspired by a folktale her grandfather told her as a child. Songju lives in Illinois with her husband and their daughters. Visit her website at www.songjumadaemicke.com."
The Miseducation of Cameron Post,"Danforth, Emily M.",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022,Administrator,Juvenile Fiction,2013-05-28,"Set in rural Montana in the early 1990s, emily m. danforth’s The Miseducation of Cameron Post is a powerful and widely acclaimed YA coming-of-age novel in the tradition of the classic Annie on My Mind. Cameron Post feels a mix of guilt and relief when her parents die in a car accident. Their deaths mean they will never learn the truth she eventually comes to—that she's gay. Orphaned, Cameron comes to live with her old-fashioned grandmother and ultraconservative aunt Ruth. There she falls in love with her best friend, a beautiful cowgirl. When she’s eventually outed, her aunt sends her to God’s Promise, a religious conversion camp that is supposed to “cure” her homosexuality. At the camp, Cameron comes face to face with the cost of denying her true identity. The Miseducation of Cameron Post is a stunning and provocative literary debut that was a finalist for the YALSA Morris Award and was named to numerous “best” lists.","The acclaimed book behind the 2018 Sundance Grand Jury Prize-winning movie &quot;LGBTQ cinema is out in force at Sundance Film Festival,&quot; proclaimed USA Today."
The Miseducation of Cameron Post,"Danforth, Emily M.",Banned in Libraries,Texas,North East Independent School District,December 2021,Administrator,Juvenile Fiction,2013-05-28,"Set in rural Montana in the early 1990s, emily m. danforth’s The Miseducation of Cameron Post is a powerful and widely acclaimed YA coming-of-age novel in the tradition of the classic Annie on My Mind. Cameron Post feels a mix of guilt and relief when her parents die in a car accident. Their deaths mean they will never learn the truth she eventually comes to—that she's gay. Orphaned, Cameron comes to live with her old-fashioned grandmother and ultraconservative aunt Ruth. There she falls in love with her best friend, a beautiful cowgirl. When she’s eventually outed, her aunt sends her to God’s Promise, a religious conversion camp that is supposed to “cure” her homosexuality. At the camp, Cameron comes face to face with the cost of denying her true identity. The Miseducation of Cameron Post is a stunning and provocative literary debut that was a finalist for the YALSA Morris Award and was named to numerous “best” lists.","The acclaimed book behind the 2018 Sundance Grand Jury Prize-winning movie &quot;LGBTQ cinema is out in force at Sundance Film Festival,&quot; proclaimed USA Today."
Dreadnought (Nemesis Series),"Daniels, April",Banned in Libraries,Texas,North East Independent School District,December 2021,Administrator,Young Adult Fiction,2016-01-24,"An action-packed series-starter perfect for fans of The Heroine Complex and Not Your Sidekick. “I didn’t know how much I needed this brave, thrilling book until it rocked my world. Dreadnought is the superhero adventure we all need right now.”—Charlie Jane Anders, author of All the Birds in the Sky Danny Tozer has a problem: she just inherited the powers of Dreadnought, the world’s greatest superhero. Until Dreadnought fell out of the sky and died right in front of her, Danny was trying to keep people from finding out she’s transgender. But before he expired, Dreadnought passed his mantle to her, and those secondhand superpowers transformed Danny’s body into what she’s always thought it should be. Now there’s no hiding that she’s a girl. It should be the happiest time of her life, but Danny’s first weeks finally living in a body that fits her are more difficult and complicated than she could have imagined. Between her father’s dangerous obsession with “curing” her girlhood, her best friend suddenly acting like he’s entitled to date her, and her fellow superheroes arguing over her place in their ranks, Danny feels like she’s in over her head. She doesn’t have time to adjust. Dreadnought’s murderer—a cyborg named Utopia—still haunts the streets of New Port City, threatening destruction. If Danny can’t sort through the confusion of coming out, master her powers, and stop Utopia in time, humanity faces extinction.",A trans teen is transformed into a superhero in this action-packed series-starter perfect for fans of The Heroine Complex and Not Your Sidekick.
Happy families,"Davis, Tanita S.",Banned in Libraries,Texas,North East Independent School District,December 2021,Administrator,Family & Relationships,2013-02-19,"In The Secrets of Happy Families, New York Times bestselling author Bruce Feiler has drawn up a blueprint for modern families — a new approach to family dynamics, inspired by cutting-edge techniques gathered from experts in the disciplines of science, business, sports, and the military. Don't worry about family dinner. Let your kids pick their punishments. Ditch the sex talk. Cancel date night. These are just a few of the surprising innovations in this bold first-of-its-kind playbook for today's families. Bestselling author and New York Times family columnist Bruce Feiler found himself squeezed between caring for aging parents and raising his children. So he set out on a three-year journey to find the smartest solutions and the most cutting-edge research about families. Instead of the usual family ""experts,"" he sought out the most creative minds—from Silicon Valley to the set of Modern Family, from the country's top negotiators to the Green Berets—and asked them what team-building exercises and problem-solving techniques they use with their families. Feiler then tested these ideas with his wife and kids. The result is a fun, original look at how families can draw closer together, complete with 200 never-before-seen best practices. Feiler's life-changing discoveries include a radical plan to reshape your family in twenty minutes a week, Warren Buffett's guide for setting an allowance, and the Harvard handbook for resolving conflict. The Secrets of Happy Families is a timely, counterintuitive book that answers the questions countless parents are asking: How do we manage the chaos of our lives? How do we teach our kids values? How do we make our family happier? Written in a charming, accessible style, The Secrets of Happy Families is smart, funny, and fresh, and will forever change how your family lives every day.",Don&#39;t worry about family dinner. Let your kids pick their punishments. Ditch the sex talk. Cancel date night. These are just a few of the surprising innovations in this bold first-of-its-kind playbook for today&#39;s families.
This Book Is Gay,"Dawson, Juno",Banned Pending Investigation,Florida,Brevard Public Schools,March 2022,Administrator,Young Adult Nonfiction,2021-09-07,"The bestselling young adult non-fiction book on sexuality and gender! Lesbian. Gay. Bisexual. Transgender. Queer. Intersex. Straight. Curious. This book is for everyone, regardless of gender or sexual preference. This book is for anyone who's ever dared to wonder. This book is for YOU. This candid, funny, and uncensored exploration of sexuality and what it's like to grow up LGBTQ also includes real stories from people across the gender and sexual spectrums, not to mention hilarious illustrations. Inside this revised and updated edition, you'll find the answers to all the questions you ever wanted to ask, with topics like: Stereotypes—the facts and fiction Coming out as LGBT Where to meet people like you The ins and outs of gay sex How to flirt And so much more! You will be entertained. You will be informed. But most importantly, you will know that however you identify (or don't) and whomever you love, you are exceptional. You matter. And so does this book. This book is for: LGBTQIA+ teens, tweens, and adults Readers looking to learn more about the LGBTQIA+ community Parents of gay kids and other LGBT youth Educators looking for advice about the LGBTQIA+ community Praise for This Book is Gay: A Guardian Best Book of the Year 2018 Garden State Teen Book Award Winner ""The book every LGBT person would have killed for as a teenager, told in the voice of a wise best friend. Frank, warm, funny, USEFUL.""—Patrick Ness, New York Times bestselling author ""This egregious gap has now been filled to a fare-thee-well by Dawson's book.""—Booklist *STARRED REVIEW*","Lesbian. Gay. Bisexual. Transgender. Queer. Intersex. Straight. Curious. This book is for everyone, regardless of gender or sexual preference. This book is for anyone who&#39;s ever dared to wonder. This book is for YOU."
This Book Is Gay,"Dawson, Juno",Banned Pending Investigation,Florida,Walton County School District,April 2022,Administrator,Young Adult Nonfiction,2021-09-07,"The bestselling young adult non-fiction book on sexuality and gender! Lesbian. Gay. Bisexual. Transgender. Queer. Intersex. Straight. Curious. This book is for everyone, regardless of gender or sexual preference. This book is for anyone who's ever dared to wonder. This book is for YOU. This candid, funny, and uncensored exploration of sexuality and what it's like to grow up LGBTQ also includes real stories from people across the gender and sexual spectrums, not to mention hilarious illustrations. Inside this revised and updated edition, you'll find the answers to all the questions you ever wanted to ask, with topics like: Stereotypes—the facts and fiction Coming out as LGBT Where to meet people like you The ins and outs of gay sex How to flirt And so much more! You will be entertained. You will be informed. But most importantly, you will know that however you identify (or don't) and whomever you love, you are exceptional. You matter. And so does this book. This book is for: LGBTQIA+ teens, tweens, and adults Readers looking to learn more about the LGBTQIA+ community Parents of gay kids and other LGBT youth Educators looking for advice about the LGBTQIA+ community Praise for This Book is Gay: A Guardian Best Book of the Year 2018 Garden State Teen Book Award Winner ""The book every LGBT person would have killed for as a teenager, told in the voice of a wise best friend. Frank, warm, funny, USEFUL.""—Patrick Ness, New York Times bestselling author ""This egregious gap has now been filled to a fare-thee-well by Dawson's book.""—Booklist *STARRED REVIEW*","Lesbian. Gay. Bisexual. Transgender. Queer. Intersex. Straight. Curious. This book is for everyone, regardless of gender or sexual preference. This book is for anyone who&#39;s ever dared to wonder. This book is for YOU."
This Book Is Gay,"Dawson, Juno",Banned in Libraries and Classrooms,Idaho,West Ada School District,February 2022,Formal Challenge,Young Adult Nonfiction,2021-09-07,"The bestselling young adult non-fiction book on sexuality and gender! Lesbian. Gay. Bisexual. Transgender. Queer. Intersex. Straight. Curious. This book is for everyone, regardless of gender or sexual preference. This book is for anyone who's ever dared to wonder. This book is for YOU. This candid, funny, and uncensored exploration of sexuality and what it's like to grow up LGBTQ also includes real stories from people across the gender and sexual spectrums, not to mention hilarious illustrations. Inside this revised and updated edition, you'll find the answers to all the questions you ever wanted to ask, with topics like: Stereotypes—the facts and fiction Coming out as LGBT Where to meet people like you The ins and outs of gay sex How to flirt And so much more! You will be entertained. You will be informed. But most importantly, you will know that however you identify (or don't) and whomever you love, you are exceptional. You matter. And so does this book. This book is for: LGBTQIA+ teens, tweens, and adults Readers looking to learn more about the LGBTQIA+ community Parents of gay kids and other LGBT youth Educators looking for advice about the LGBTQIA+ community Praise for This Book is Gay: A Guardian Best Book of the Year 2018 Garden State Teen Book Award Winner ""The book every LGBT person would have killed for as a teenager, told in the voice of a wise best friend. Frank, warm, funny, USEFUL.""—Patrick Ness, New York Times bestselling author ""This egregious gap has now been filled to a fare-thee-well by Dawson's book.""—Booklist *STARRED REVIEW*","Lesbian. Gay. Bisexual. Transgender. Queer. Intersex. Straight. Curious. This book is for everyone, regardless of gender or sexual preference. This book is for anyone who&#39;s ever dared to wonder. This book is for YOU."
This Book Is Gay,"Dawson, Juno",Banned Pending Investigation,Kansas,Goddard Public Schools,November 2021,Administrator,Young Adult Nonfiction,2021-09-07,"The bestselling young adult non-fiction book on sexuality and gender! Lesbian. Gay. Bisexual. Transgender. Queer. Intersex. Straight. Curious. This book is for everyone, regardless of gender or sexual preference. This book is for anyone who's ever dared to wonder. This book is for YOU. This candid, funny, and uncensored exploration of sexuality and what it's like to grow up LGBTQ also includes real stories from people across the gender and sexual spectrums, not to mention hilarious illustrations. Inside this revised and updated edition, you'll find the answers to all the questions you ever wanted to ask, with topics like: Stereotypes—the facts and fiction Coming out as LGBT Where to meet people like you The ins and outs of gay sex How to flirt And so much more! You will be entertained. You will be informed. But most importantly, you will know that however you identify (or don't) and whomever you love, you are exceptional. You matter. And so does this book. This book is for: LGBTQIA+ teens, tweens, and adults Readers looking to learn more about the LGBTQIA+ community Parents of gay kids and other LGBT youth Educators looking for advice about the LGBTQIA+ community Praise for This Book is Gay: A Guardian Best Book of the Year 2018 Garden State Teen Book Award Winner ""The book every LGBT person would have killed for as a teenager, told in the voice of a wise best friend. Frank, warm, funny, USEFUL.""—Patrick Ness, New York Times bestselling author ""This egregious gap has now been filled to a fare-thee-well by Dawson's book.""—Booklist *STARRED REVIEW*","Lesbian. Gay. Bisexual. Transgender. Queer. Intersex. Straight. Curious. This book is for everyone, regardless of gender or sexual preference. This book is for anyone who&#39;s ever dared to wonder. This book is for YOU."
